id,id_tempat,jam_buka,jam_tutup,hari
595,1,00:00,23:59,minggu
596,2,00:00,23:59,minggu
597,3,00:00,23:59,minggu
598,4,00:00,23:59,minggu
599,5,16:00,18:00,minggu
600,6,08:00,15:00,minggu
601,7,00:00,23:59,minggu
602,8,08:00,16:00,minggu
603,9,00:00,23:59,minggu
604,10,00:00,23:59,minggu
605,11,05:00,16:00,minggu
606,12,09:00,15:00,minggu
607,13,00:00,23:59,minggu
608,14,09:00,16:00,minggu
609,15,00:00,23:59,minggu
610,16,08:00,17:00,minggu
611,17,06:00,18:00,minggu
612,18,09:00,17:00,minggu
613,19,00:00,00:00,minggu
614,20,09:00,17:00,minggu
615,21,00:00,23:59,minggu
616,22,09:00,21:00,minggu
617,23,00:00,23:59,minggu
618,24,08:00,21:00,minggu
619,25,00:00,00:00,minggu
620,26,00:00,23:59,minggu
621,27,00:00,23:59,minggu
622,28,10:00,21:00,minggu
623,29,07:00,18:00,minggu
624,30,00:00,23:59,minggu
625,31,09:00,17:00,minggu
626,32,08:30,21:00,minggu
627,33,00:00,23:59,minggu
628,34,07:00,17:30,minggu
629,35,11:00,21:00,minggu
630,36,09:00,22:00,minggu
631,37,00:00,23:59,minggu
632,38,09:00,15:00,minggu
633,39,07:00,16:00,minggu
634,40,08:00,22:00,minggu
635,41,08:30,15:00,minggu
636,42,08:00,21:00,minggu
637,43,17:00,23:59,minggu
638,44,07:00,17:00,minggu
639,45,09:00,17:00,minggu
640,46,00:00,23:59,minggu
641,47,08:00,17:00,minggu
642,48,09:00,18:00,minggu
643,49,00:00,23:59,minggu
644,50,06:00,21:00,minggu
645,51,00:00,23:59,minggu
646,52,00:00,23:59,minggu
647,53,12:00,22:00,minggu
648,54,08:00,17:00,minggu
649,55,07:30,16:30,minggu
650,56,00:00,00:00,minggu
651,57,08:00,22:00,minggu
652,58,08:00,17:00,minggu
653,59,05:00,23:30,minggu
654,60,08:00,16:00,minggu
655,61,10:00,23:00,minggu
656,62,06:30,16:30,minggu
657,63,00:00,00:00,minggu
658,64,07:00,18:00,minggu
659,65,08:00,17:00,minggu
660,66,10:00,22:00,minggu
661,67,09:00,16:00,minggu
662,68,09:00,15:00,minggu
663,69,08:30,14:00,minggu
664,70,08:30,16:00,minggu
665,71,08:00,21:00,minggu
666,72,08:30,16:00,minggu
667,73,00:00,23:59,minggu
668,74,00:00,23:59,minggu
669,75,06:30,17:00,minggu
670,76,07:30,16:00,minggu
671,77,00:00,00:00,minggu
672,78,00:00,00:00,minggu
673,79,06:00,18:00,minggu
674,80,08:00,18:00,minggu
675,81,07:30,16:00,minggu
676,82,00:00,00:00,minggu
677,83,16:30,23:00,minggu
678,84,06:00,17:00,minggu
679,85,08:00,21:00,minggu
680,86,06:00,18:00,minggu
681,87,00:00,00:00,minggu
682,88,00:00,23:59,minggu
683,89,00:00,23:59,minggu
684,90,08:30,15:30,minggu
685,91,00:00,00:00,minggu
686,92,08:00,18:00,minggu
687,93,06:00,21:00,minggu
688,94,06:00,18:00,minggu
689,95,08:00,18:00,minggu
690,96,00:00,23:59,minggu
691,97,08:30,18:00,minggu
692,98,00:00,00:00,minggu
693,99,09:00,16:30,minggu
